claimId,userId,contractId,policyType,firstName,lastName,profession,phone,email,postalAddress,incidentType,incidentDate,incidentTime,incidentLocation,incidentDescription,damages,thirdPartyInvolved,supportingFilesCount,label,indemnity,isCompatible,isDuplicate
28,23,62,habitation,Patrick,Daniel,Médecin,+33 (0)3 75 63 69 06,philippinedupuis@example.net,"2, boulevard Nathalie Cousin",maladie,2025-01-31,15:33,Lamyboeuf,Incident non précisé,Dommages divers,False,3,suspicieux,0,False,False
29,48,84,professionnelle,Marianne,Gallet,Médecin,+33 8 04 50 69 60,payetconstance@example.com,"9, rue Bazin",maladie,2025-02-17,08:11,Guilbert-sur-Mer,Incendie dans une maison à Gros-sur-Letellier,Frais médicaux,False,0,suspicieux,0,False,False
30,1,94,voyage,Charlotte,Germain,Commerçant,+33 6 31 66 05 41,cpruvost@example.net,avenue de Clément,accident,2025-01-19,20:57,Hoareau-sur-Mer,Vol d’objets à Delaunayboeuf,Bijoux volés,False,1,suspicieux,0,False,False
31,48,78,transport,Louis,Germain,Enseignant,+33 5 45 95 73 02,cecile42@example.org,"29, avenue Emmanuelle Hebert",accident,2024-08-10,23:58,Hamon-sur-Bourgeois,Inondation à Morenodan,Frais médicaux,False,3,suspicieux,0,False,False
32,23,2,responsabilité civile,Bernadette,Mathieu,Commerçant,0699117670,alexandriaollivier@example.com,"1, rue Godard",vol,2025-02-01,08:29,Le Gall,Vol d’objets à Leconte-sur-Pottier,Murs et sol endommagés,True,3,suspicieux,0,False,True
33,2,1,voyage,Lucas,Parent,Chauffeur,0221777189,marthe26@example.org,"6, avenue Tessier",vol,2025-03-21,03:27,Gauthier,Maladie grave diagnostiquée,Murs et sol endommagés,False,3,suspicieux,0,False,False
34,47,49,professionnelle,Rémy,Prévost,Ingénieur,0519595350,williampeltier@example.net,"38, avenue de Louis",accident,2024-09-24,18:21,Gaudin,Inondation à Gillet,Bijoux volés,True,2,suspicieux,0,False,False
35,4,93,santé,Antoinette,Deschamps,Médecin,0146940923,drenaud@example.org,"94, chemin Courtois",dégât des eaux,2025-01-24,12:00,Sainte LucyVille,Collision à RémyBourg,Frais médicaux,False,1,suspicieux,0,False,False
36,36,70,automobile,Suzanne,Pasquier,Ingénieur,02 98 98 90 80,nathaliefrancois@example.org,"31, boulevard Evrard",accident,2025-02-02,22:36,Salmon,Incendie dans une maison à Sainte Thomas,Frais médicaux,False,2,valide,1378,True,False
37,4,29,transport,Claude,Morvan,Médecin,04 79 81 87 50,alexandrieroy@example.net,"9, avenue de Morvan",incendie,2024-11-29,01:53,Marie,Vol d’objets à Guichard,Pare-chocs endommagé,True,3,suspicieux,0,False,False
38,17,68,voyage,Agathe,Sauvage,Commerçant,+33 (0)2 47 99 36 91,julie65@example.com,"174, chemin Marianne Besnard",vol,2025-06-17,10:00,Hernandez,Incident non précisé,Dommages divers,True,3,suspicieux,0,False,False
39,29,72,automobile,William,Reynaud,Chauffeur,0230796177,qle-goff@example.com,rue de Duhamel,vol,2024-08-21,19:26,Sainte Gilbert,Maladie grave diagnostiquée,Murs et sol endommagés,False,2,suspicieux,0,True,False
40,15,84,habitation,Claudine,Huet,Médecin,04 70 00 30 05,lucymichel@example.net,"36, rue Grondin",incendie,2024-11-25,14:52,Delorme-la-Forêt,Incendie dans une maison à DelmasBourg,Frais médicaux,True,2,suspicieux,0,True,False
41,13,96,professionnelle,Chantal,Grondin,Chauffeur,+33 4 30 66 12 02,lucasadrienne@example.org,"14, rue Gilbert Devaux",dégât des eaux,2025-02-08,00:49,Delmas-sur-Collet,Collision à Fernandes-sur-Mer,Frais médicaux,True,3,suspicieux,0,False,False
42,6,58,professionnelle,Charlotte,François,Enseignant,+33 (0)2 69 45 63 31,pierrerenard@example.net,"634, rue Alice Marchand",incendie,2024-07-25,17:13,Monnier,Inondation à Martineau,Bijoux volés,True,3,suspicieux,0,False,False
43,39,94,transport,Arthur,Gérard,Chauffeur,0559435921,josette20@example.com,boulevard Véronique Brunet,maladie,2025-04-16,03:56,Bousquet-sur-Mer,Maladie grave diagnostiquée,Mobilier brûlé,True,1,suspicieux,0,False,False
44,49,3,transport,Emmanuelle,Poirier,Commerçant,03 62 08 87 92,maringilbert@example.net,"638, avenue Rossi",dégât des eaux,2024-09-18,14:34,Fourniernec,Collision à Blanchetdan,Bijoux volés,False,1,suspicieux,0,False,False
45,40,68,transport,Henriette,Lacroix,Enseignant,+33 (0)4 15 32 76 75,celinelebon@example.net,rue Gomez,maladie,2024-07-10,21:55,Huet,Vol d’objets à Huet-sur-Mer,Frais médicaux,True,1,suspicieux,0,False,False
46,7,4,professionnelle,Nathalie,Devaux,Chauffeur,+33 2 30 28 35 05,amartinez@example.com,boulevard Paul,incendie,2024-11-30,20:47,Pineau-sur-Hernandez,Collision à Martynec,Bijoux volés,True,0,suspicieux,0,False,False
47,9,7,responsabilité civile,Guy,Huet,Médecin,+33 (0)6 87 14 95 48,ofrancois@example.net,chemin Grégoire,incendie,2025-05-17,16:11,Saint Eugène,Maladie grave diagnostiquée,Frais médicaux,True,2,suspicieux,0,False,False
48,6,50,professionnelle,Marcelle,Pierre,Commerçant,+33 (0)2 43 85 53 72,baillyeleonore@example.org,"2, boulevard Berthelot",maladie,2025-05-30,23:42,Buisson,Maladie grave diagnostiquée,Murs et sol endommagés,True,1,suspicieux,0,False,False
49,43,50,automobile,Anaïs,Le Goff,Chauffeur,0176979603,gregoire91@example.net,"49, chemin Bazin",maladie,2025-01-31,16:14,Fournier,Incendie dans une maison à Hoareau-sur-Mer,Frais médicaux,False,3,suspicieux,0,False,False
50,28,62,santé,Anastasie,Perrier,Médecin,+33 1 64 66 01 27,alicemuller@example.org,"38, chemin Jourdan",accident,2025-03-19,19:34,Tanguy-les-Bains,Inondation à Perez,Frais médicaux,False,2,suspicieux,0,False,False
51,36,28,responsabilité civile,Grégoire,Antoine,Médecin,+33 6 72 78 62 73,mathilde64@example.com,"7, avenue de Blin",incendie,2024-12-14,02:22,Laurent,Incident non précisé,Dommages divers,False,3,suspicieux,0,False,False
52,9,43,transport,Valentine,Bonnin,Ingénieur,0549087584,didierfranck@example.com,rue Faure,accident,2025-04-15,17:31,Pascal,Collision à Hoareau,Murs et sol endommagés,True,3,suspicieux,0,False,False
53,50,47,voyage,Alain,Vallet,Commerçant,+33 (0)6 34 28 45 08,umarin@example.com,"52, boulevard de Guillou",accident,2024-11-24,11:46,ChauvetBourg,Inondation à Toussaint-sur-Goncalves,Mobilier brûlé,True,3,suspicieux,0,False,False
54,29,74,professionnelle,Jules,Maury,Enseignant,+33 2 85 86 51 60,frousseau@example.net,"2, avenue Godard",vol,2025-03-30,17:08,Durand-sur-Mer,Vol d’objets à Rollandboeuf,Mobilier brûlé,True,2,suspicieux,0,False,False
55,17,27,responsabilité civile,Benjamin,Giraud,Enseignant,+33 5 79 86 01 01,gilbertroussel@example.com,"39, boulevard Torres",accident,2024-07-11,07:25,Gaynec,Incendie dans une maison à Saint Denise,Frais médicaux,False,3,valide,2574,True,False
56,2,45,santé,Élodie,Barre,Chauffeur,0422319389,carliercatherine@example.org,"9, rue Lemaître",dégât des eaux,2025-06-07,16:26,Morvan,Inondation à Lacroix,Murs et sol endommagés,False,0,suspicieux,0,False,False
57,46,16,santé,Marguerite,Hamon,Ingénieur,+33 (0)3 68 87 68 38,opires@example.com,rue Patrick Paris,vol,2024-07-09,03:29,Cohen,Vol d’objets à Richard-la-Forêt,Pare-chocs endommagé,True,2,suspicieux,0,False,False
58,9,20,professionnelle,Océane,Potier,Ingénieur,+33 (0)2 44 82 02 87,adammartine@example.com,"31, avenue Lucy Daniel",dégât des eaux,2024-07-08,19:07,Peron-sur-Verdier,Incendie dans une maison à Sainte Victor,Mobilier brûlé,True,1,suspicieux,0,False,False
59,20,61,professionnelle,Sophie,Prévost,Chauffeur,0258216661,gomezyves@example.com,"89, chemin Lagarde",accident,2025-04-28,18:30,Payet-les-Bains,Incendie dans une maison à Saint Adèle,Frais médicaux,True,2,suspicieux,0,False,False
60,12,6,professionnelle,Luce,Barthelemy,Médecin,+33 1 77 41 31 04,alphonse93@example.com,"46, rue de De Oliveira",accident,2024-12-10,02:51,Durand,Incident non précisé,Dommages divers,False,2,suspicieux,0,False,False
61,27,99,responsabilité civile,Louis,Alexandre,Commerçant,0494699429,jeanninerenault@example.org,"95, rue Michelle Perret",vol,2025-01-21,23:10,Boucher-sur-Ollivier,Collision à Leblanc-les-Bains,Murs et sol endommagés,True,3,suspicieux,0,False,False
62,33,17,professionnelle,Alphonse,Lucas,Chauffeur,+33 2 53 93 56 98,madeleine13@example.com,"86, chemin Courtois",dégât des eaux,2025-06-07,05:03,Guyon,Incident non précisé,Dommages divers,False,1,suspicieux,0,False,False
63,15,86,santé,Stéphanie,Duhamel,Enseignant,+33 (0)1 75 01 93 33,huetmarguerite@example.net,rue Céline Lenoir,accident,2024-11-10,23:09,Saint Margaux,Incident non précisé,Dommages divers,True,3,suspicieux,0,False,False
64,37,58,habitation,Raymond,Alexandre,Enseignant,0238823119,agnes84@example.net,"21, boulevard Zacharie Parent",vol,2024-11-24,13:20,GuilletVille,Inondation à Meunier,Mobilier brûlé,True,2,suspicieux,0,True,True
65,48,55,automobile,Juliette,Barbe,Commerçant,+33 1 49 53 93 27,bernadette14@example.com,"211, boulevard Timothée Dos Santos",maladie,2025-02-22,16:20,Maréchal,Vol d’objets à Bonnet,Pare-chocs endommagé,True,0,suspicieux,0,False,False
66,44,35,responsabilité civile,Claudine,Michel,Ingénieur,0144445082,guyotbernard@example.com,"50, rue Gilbert Perret",dégât des eaux,2024-07-14,15:13,Ribeiro,Inondation à Ferreira,Bijoux volés,False,3,suspicieux,0,False,False
67,5,67,voyage,Monique,Renard,Ingénieur,+33 3 80 32 57 22,langloismarguerite@example.com,"92, rue Véronique Cohen",dégât des eaux,2024-06-23,20:50,Albert-la-Forêt,Vol d’objets à Fischer,Mobilier brûlé,True,2,suspicieux,0,False,False
68,28,10,transport,Michelle,Muller,Médecin,05 87 92 38 32,lorrainefabre@example.net,"39, chemin Vaillant",incendie,2025-02-10,15:22,Guillot,Incendie dans une maison à Sainte Suzanne-la-Forêt,Pare-chocs endommagé,True,3,suspicieux,0,False,False
69,35,15,professionnelle,Frédéric,Pelletier,Chauffeur,+33 (0)3 22 36 56 25,guillaumerobert@example.com,"2, rue de Neveu",incendie,2025-01-25,22:56,Saint Michel,Incident non précisé,Dommages divers,False,1,suspicieux,0,False,False
70,34,9,habitation,Agathe,Weiss,Chauffeur,+33 (0)5 87 47 31 56,dianethibault@example.net,"6, rue de Vidal",maladie,2024-09-27,13:28,Simondan,Incendie dans une maison à Saint Michel-sur-Mer,Frais médicaux,False,2,suspicieux,0,False,False
71,38,41,professionnelle,Colette,Fleury,Médecin,06 19 81 18 76,joubertcharles@example.com,"323, rue Louis Da Costa",maladie,2025-03-22,14:57,Huet,Collision à Guillou-sur-Vincent,Murs et sol endommagés,False,0,suspicieux,0,False,False
72,1,23,responsabilité civile,Gérard,Martinez,Enseignant,+33 (0)1 49 28 05 26,deniseparis@example.org,rue Aurélie Diallo,vol,2024-10-13,11:27,Gaillarddan,Collision à Sainte Vincentdan,Murs et sol endommagés,False,2,suspicieux,0,False,False
73,40,32,professionnelle,Christelle,Valentin,Médecin,0480724732,philippe36@example.org,"98, rue Frédéric Ferrand",accident,2025-06-22,17:07,Sainte Gilbert-sur-Mer,Incendie dans une maison à NicolasVille,Mobilier brûlé,True,3,suspicieux,0,False,False
74,14,1,habitation,Adélaïde,Petit,Médecin,06 05 33 56 26,mercierluc@example.com,"40, rue Collin",accident,2024-10-02,10:13,Ledoux,Incident non précisé,Dommages divers,True,3,suspicieux,0,False,False
75,36,59,professionnelle,Renée,Muller,Commerçant,+33 4 94 98 24 24,aubryvictoire@example.org,"18, avenue de Pereira",maladie,2025-04-09,18:29,Cousin,Incendie dans une maison à Perrin,Mobilier brûlé,True,1,suspicieux,0,False,False
76,44,30,automobile,Isabelle,Ferreira,Ingénieur,01 83 92 71 42,catherine30@example.org,"56, boulevard de Picard",incendie,2024-07-08,09:14,MailletVille,Maladie grave diagnostiquée,Bijoux volés,True,1,suspicieux,0,False,False
77,41,96,professionnelle,Anouk,Deschamps,Ingénieur,03 66 36 93 89,gbesson@example.com,"33, rue de Renard",accident,2025-03-29,15:29,Sainte Thibaultboeuf,Incident non précisé,Dommages divers,True,3,suspicieux,0,False,False
78,24,36,voyage,Pauline,Lambert,Chauffeur,02 78 40 29 73,laurentodette@example.org,"48, rue Louis",dégât des eaux,2024-11-02,11:07,Sainte Émiledan,Inondation à Sainte Gilles,Frais médicaux,False,3,suspicieux,0,False,False
79,32,84,professionnelle,Louise,Jacquot,Enseignant,0699724785,weberdiane@example.org,"2, rue de Maillard",vol,2024-07-15,14:14,Jacquetnec,Incident non précisé,Dommages divers,True,2,suspicieux,0,False,False
80,8,15,habitation,Laurence,Bousquet,Ingénieur,+33 4 94 31 54 93,leclercjacques@example.net,"76, rue de Faure",maladie,2024-09-12,04:26,Maillard-sur-Brunel,Maladie grave diagnostiquée,Mobilier brûlé,True,1,suspicieux,0,False,False
81,14,75,santé,Joséphine,Duval,Ingénieur,0482474237,arnaudepoirier@example.com,rue Denis Cousin,vol,2025-01-23,18:45,Pages,Collision à Sainte Susan,Pare-chocs endommagé,False,2,suspicieux,0,False,False
82,10,53,automobile,Éléonore,Boyer,Commerçant,01 83 03 56 27,emile96@example.net,"363, boulevard Stéphanie Hubert",dégât des eaux,2025-06-20,18:59,Sainte Alphonseboeuf,Incendie dans une maison à Bergernec,Bijoux volés,True,2,suspicieux,0,False,False
83,7,29,habitation,Gabrielle,Bouvier,Ingénieur,0214869509,margotbarbier@example.org,"69, rue de Leclerc",maladie,2025-05-31,18:13,Mathieu-sur-Gilbert,Incident non précisé,Dommages divers,False,2,suspicieux,0,False,False
84,25,41,transport,Inès,Lemaître,Commerçant,03 84 50 10 40,margueritepaul@example.com,rue de Barbe,incendie,2024-07-14,21:25,Aubry-la-Forêt,Inondation à Duhamel-les-Bains,Pare-chocs endommagé,False,1,suspicieux,0,False,False
85,5,18,responsabilité civile,Océane,Guillon,Médecin,+33 (0)6 38 71 44 31,jacquesnicolas@example.com,rue Blot,maladie,2025-04-20,08:43,Sainte Lucas,Incident non précisé,Dommages divers,False,0,suspicieux,0,False,False
86,33,63,automobile,René,Gallet,Commerçant,+33 3 67 75 16 13,mauricedupre@example.org,rue Bourdon,maladie,2025-01-27,14:11,Saint Guy-la-Forêt,Inondation à Grégoire-sur-Le Goff,Mobilier brûlé,False,1,suspicieux,0,False,False
87,50,61,habitation,Isabelle,Lambert,Chauffeur,+33 (0)1 46 02 69 35,duboismargaux@example.org,"22, avenue de Collet",maladie,2024-08-13,08:45,Sainte MarcelBourg,Inondation à Saint Emmanuel,Pare-chocs endommagé,False,0,suspicieux,0,False,False
88,34,85,automobile,Nath,Gaillard,Commerçant,+33 6 41 76 31 98,zachariecaron@example.net,"6, rue de Chartier",vol,2024-09-11,19:38,Leclercq,Vol d’objets à BriandBourg,Pare-chocs endommagé,False,3,valide,4801,True,False
89,10,94,habitation,Victor,Mahe,Commerçant,+33 (0)4 49 46 61 00,bpereira@example.com,"83, avenue Dominique Durand",maladie,2025-02-03,17:53,MaceBourg,Vol d’objets à Le Roux-sur-De Oliveira,Murs et sol endommagés,False,1,suspicieux,0,False,False
90,33,32,automobile,Adrienne,Deschamps,Médecin,+33 4 97 55 76 75,tferreira@example.com,"32, rue Rodriguez",vol,2025-04-26,21:03,Robert-la-Forêt,Collision à Sainte EmmanuelleBourg,Pare-chocs endommagé,False,0,suspicieux,0,True,False
91,25,36,habitation,Mathilde,Raymond,Enseignant,+33 2 40 45 55 92,robertlucas@example.org,"42, avenue Meyer",vol,2025-04-22,18:40,Da Costa-la-Forêt,Vol d’objets à Allard-la-Forêt,Bijoux volés,False,0,suspicieux,0,True,False
92,34,36,automobile,Dorothée,Julien,Commerçant,+33 (0)2 18 83 01 64,fjoseph@example.com,"485, boulevard de Rivière",maladie,2025-03-22,20:54,VasseurBourg,Incendie dans une maison à Sainte AdèleVille,Bijoux volés,False,3,suspicieux,0,False,False
93,48,74,responsabilité civile,Paulette,Fernandez,Médecin,0253698974,louisroyer@example.org,"118, boulevard Zacharie Olivier",vol,2025-03-01,17:47,Chevalier,Maladie grave diagnostiquée,Murs et sol endommagés,True,3,suspicieux,0,False,False
94,43,85,transport,Xavier,Benoit,Enseignant,+33 4 20 15 33 88,leducraymond@example.net,"3, chemin de Gomes",vol,2025-01-31,17:06,Fournier,Incendie dans une maison à Hoareau-sur-Mer,Murs et sol endommagés,False,3,suspicieux,0,True,True
95,48,13,habitation,Thierry,Delorme,Commerçant,+33 2 51 20 00 57,olivielaine@example.net,avenue Blanchard,maladie,2025-05-25,23:07,Sainte Édouard,Inondation à Benard-les-Bains,Bijoux volés,True,2,suspicieux,0,False,False
96,8,29,responsabilité civile,Capucine,Pinto,Ingénieur,04 66 20 43 16,bousquetelise@example.com,"24, boulevard Gillet",accident,2025-06-03,09:22,Marchandboeuf,Incident non précisé,Dommages divers,False,3,suspicieux,0,True,False
97,24,68,automobile,Jean,Letellier,Médecin,+33 3 52 05 32 30,patrickseguin@example.com,"5, boulevard de Brunel",maladie,2024-12-22,13:09,Sainte Gillesdan,Incendie dans une maison à Charpentier,Dommages divers,True,0,suspicieux,0,False,True
98,19,58,automobile,Christine,Fabre,Chauffeur,05 19 82 88 87,elisabethfernandez@example.net,"16, rue de Carlier",maladie,2024-07-16,18:39,CosteVille,Maladie grave diagnostiquée,Pare-chocs endommagé,False,3,suspicieux,0,False,False
99,2,73,habitation,Bertrand,Labbé,Commerçant,+33 (0)2 99 66 52 18,colinhenriette@example.org,"7, avenue Pottier",incendie,2024-07-15,05:45,Saint Pierre-la-Forêt,Collision à Lamy-les-Bains,Mobilier brûlé,False,0,suspicieux,0,True,False
100,4,63,professionnelle,Capucine,Lemonnier,Enseignant,05 17 73 51 38,stephaneantoine@example.org,"16, rue Christophe Dufour",vol,2024-11-29,21:07,Marie,Vol d’objets à Guichard,Mobilier brûlé,True,1,suspicieux,0,False,True
101,40,8,santé,Odette,Marion,Enseignant,+33 (0)1 58 81 12 24,wgautier@example.org,"629, chemin de Caron",vol,2024-09-25,17:13,Paul-sur-David,Inondation à Saint Bernadetteboeuf,Frais médicaux,False,0,suspicieux,0,False,False
102,42,28,responsabilité civile,Luc,Baudry,Commerçant,+33 1 70 13 33 85,claire13@example.net,"761, chemin Millet",dégât des eaux,2025-01-11,02:04,Gonzalez,Maladie grave diagnostiquée,Bijoux volés,True,2,suspicieux,0,False,False
103,29,95,professionnelle,Margot,Lecomte,Commerçant,+33 2 98 23 43 33,margot69@example.net,"52, rue André Martinez",vol,2025-05-16,20:47,Goncalves,Inondation à Le Roux-sur-Mer,Murs et sol endommagés,False,1,suspicieux,0,False,False
104,15,62,responsabilité civile,Margot,Valentin,Médecin,0564549501,eleonorephilippe@example.net,boulevard de Roger,vol,2024-12-18,04:38,Guilbert,Inondation à Sainte Alix,Pare-chocs endommagé,True,3,suspicieux,0,False,False
105,39,95,voyage,Sébastien,Louis,Chauffeur,+33 3 64 87 60 79,bergerxavier@example.com,"43, rue de Weiss",accident,2025-01-12,13:38,Martins,Maladie grave diagnostiquée,Pare-chocs endommagé,False,0,suspicieux,0,False,False
106,33,94,transport,Alfred,Bertin,Chauffeur,+33 (0)2 22 23 05 86,chantalleleu@example.net,rue de Tessier,maladie,2024-11-26,15:30,Rolland,Incendie dans une maison à Payet,Frais médicaux,True,1,suspicieux,0,False,False
107,7,35,habitation,Édith,Salmon,Enseignant,+33 (0)3 66 23 65 29,huguesgrondin@example.com,"40, avenue Benjamin Payet",incendie,2025-02-14,14:46,Robin,Collision à Dufour-sur-Antoine,Mobilier brûlé,False,1,valide,152,True,False
108,50,60,habitation,Cécile,Dumont,Ingénieur,+33 3 59 68 57 40,theodoremartineau@example.com,"1, rue de Moreno",maladie,2025-03-09,19:35,Boucher,Incident non précisé,Dommages divers,False,2,suspicieux,0,False,False
109,24,89,automobile,Charles,Gallet,Ingénieur,+33 3 10 97 83 10,samsongabrielle@example.net,rue Michelle Morin,accident,2024-12-26,06:12,Paris-la-Forêt,Incident non précisé,Dommages divers,False,2,suspicieux,0,True,False
110,15,38,transport,Claire,Pons,Ingénieur,+33 5 57 94 23 60,lorrainehoarau@example.org,"94, boulevard Navarro",incendie,2024-11-04,09:31,Martinez,Vol d’objets à Sainte Édouard-sur-Mer,Mobilier brûlé,True,2,suspicieux,0,False,False
111,40,25,responsabilité civile,Pauline,Gomes,Médecin,+33 (0)2 85 68 75 28,pruvostvalerie@example.com,rue Juliette Dos Santos,vol,2024-08-12,15:52,Martin,Maladie grave diagnostiquée,Pare-chocs endommagé,False,3,suspicieux,0,False,False
